"Количество организаций по данным государственной регистрации с 2017 г. (единица, Всего)",,,,,,,,
,,,,,,,,
,,,2017,2018,2019,2020,2021,2022
,,,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября
ВСЕГО (по всем формам собственности),        Белгородская область,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",,,1023,991,965,923
ВСЕГО (по всем формам собственности),        Белгородская область,"    Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",,,941,907,883,843
ВСЕГО (по всем формам собственности),        Белгородская область,    Лесоводство и лесозаготовки,,,21,22,20,20
ВСЕГО (по всем формам собственности),        Белгородская область,            Лесозаготовки,,,3,5,5,6
ВСЕГО (по всем формам собственности),        Белгородская область,    Рыболовство и рыбоводство,,,61,62,62,60
ВСЕГО (по всем формам собственности),        Белгородская область,        Рыболовство,,,11,10,9,6
ВСЕГО (по всем формам собственности),        Белгородская область,        Рыбоводство,,,50,52,53,54
ВСЕГО (по всем формам собственности),        Белгородская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,56,55,47,45
ВСЕГО (по всем формам собственности),        Белгородская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,,,2805,2704,2524,2458
ВСЕГО (по всем формам собственности),        Белгородская область,"        Переработка и консервирование рыбы, ракообразных и моллюсков",,,13,17,17,13
ВСЕГО (по всем формам собственности),        Белгородская область,        Деятельность полиграфическая и предоставление услуг в этой области,,,88,81,68,60
ВСЕГО (по всем формам собственности),        Белгородская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",,,92,96,92,91
